year,forest_cover,arctic_ice,co2,temp_anomaly,sea_level,data_type,is_reconstructed
1900,,8.752,295.7,-0.09,0.0,reconstructed,1
1901,,8.921,296.2,-0.16,-0.4,reconstructed,1
1902,,8.754,296.6,-0.28,4.2,reconstructed,1
1903,,8.969,297.0,-0.37,12.2,reconstructed,1
1904,,8.85,297.5,-0.47,1.9,reconstructed,1
1905,,8.437,298.0,-0.26,-3.6,reconstructed,1
1906,,8.804,298.4,-0.22,3.2,reconstructed,1
1907,,9.317,298.8,-0.39,1.8,reconstructed,1
1908,,8.512,299.3,-0.43,-0.7,reconstructed,1
1909,,8.602,299.7,-0.49,3.8,reconstructed,1
1910,,9.178,300.1,-0.44,3.7,reconstructed,1
1911,,9.278,300.6,-0.45,12.0,reconstructed,1
1912,,9.325,301.0,-0.37,8.9,reconstructed,1
1913,,8.169,301.3,-0.35,10.7,reconstructed,1
1914,,9.287,301.4,-0.15,17.0,reconstructed,1
1915,,8.539,301.6,-0.14,24.9,reconstructed,1
1916,,9.642,302.0,-0.36,23.0,reconstructed,1
1917,,9.199,302.4,-0.46,18.5,reconstructed,1
1918,,9.162,302.8,-0.3,16.9,reconstructed,1
1919,,8.292,303.0,-0.28,18.5,reconstructed,1
1920,,8.826,303.4,-0.28,19.8,reconstructed,1
1921,,8.967,303.7,-0.19,21.9,reconstructed,1
1922,,8.795,304.1,-0.28,21.0,reconstructed,1
1923,,8.939,304.5,-0.27,22.2,reconstructed,1
1924,,8.487,304.9,-0.27,14.9,reconstructed,1
1925,,8.967,305.3,-0.22,16.9,reconstructed,1
1926,,8.967,305.8,-0.11,23.4,reconstructed,1
1927,,8.967,306.2,-0.22,22.3,reconstructed,1
1928,,8.889,306.6,-0.2,18.4,reconstructed,1
1929,,8.813,307.2,-0.36,19.8,reconstructed,1
1930,,8.559,307.5,-0.16,23.8,reconstructed,1
1931,,8.967,308.0,-0.09,23.4,reconstructed,1
1932,,8.648,308.3,-0.16,29.1,reconstructed,1
1933,,8.488,308.9,-0.29,33.4,reconstructed,1
1934,,7.368,309.3,-0.13,28.0,reconstructed,1
1935,,7.348,309.7,-0.2,33.6,reconstructed,1
1936,,8.333,310.1,-0.15,29.7,reconstructed,1
1937,,7.327,310.6,-0.03,35.4,reconstructed,1
1938,,8.204,311.0,0.0,38.0,reconstructed,1
1939,,8.635,311.2,-0.02,43.2,reconstructed,1
1940,,8.356,311.3,0.12,37.9,reconstructed,1
1941,,7.855,311.0,0.18,50.1,reconstructed,1
1942,,7.604,310.7,0.06,50.1,reconstructed,1
1943,,7.237,310.5,0.09,50.1,reconstructed,1
1944,,7.597,310.2,0.2,43.7,reconstructed,1
